ID,Title,AddressLine1,Town,StateOrProvince,Postcode,CountryID,Latitude,Longitude,DistanceUnit,RelatedURL,AccessComments,ContactTelephone1,ContactEmail,AddressLine2,ContactTelephone2
175902,Restaurante Tres Caminos,Barrio del CInca 27,El Grado,Aragon,22390,210,42.14119762309019,0.22514498660052595,0,,,,,,
175901,Estació de servei Vilalta,Barri de la Coromina,Cardona,Catalonia,08261,210,41.907774788044264,1.7010089664229326,0,,,,,,
175900,E.S. Celrà (Repsol),"Carrer Margarita Xirgu, 10",Celrà,Girona,17460,210,42.025359692577666,2.865044537270137,0,,,,,,
175899,McDonald's L'Escala,Carrer de les Coseidores s/n,L'Escala,Girona,17130,210,42.11094667333549,3.1253158809515753,0,,,,,,
175897,Restaurante el Navarro,"Autovia A-2, Km  285",Epila,Zaragoza,50290,210,41.53956551365221,-1.2377758826579566,0,,,,,,
175820,Estación de Servicio Astigarraga,GI-2132,Astigarraga,Basque Country,20115,210,43.281878148549026,-1.9164352709968853,0,https://www.estaciondeservicioastigarraga.es,,,,,
175817,Carrer dels Rourets,Carrer dels Rourets,Lluçà,Catalonia,,210,42.06824375835643,2.073100197588019,0,,,,,,
175813,SELBA EdRSR - ETECNIC,C. d'Emma,Sant Quirze de Besora,Catalonia,08585,210,42.102917081006154,2.216307556721631,0,,,,,,
175799,Lidl,Lidl,Alcalá la Real,Andalusia,23680,210,37.45061361699078,-3.9195752928199,0,,,,,,
175765,Urepel gasolindegia,Egiburuberri industrialdea,Errenteria,Gipuzkoa,20100,210,43.29580813865198,-1.8991863566047869,0,,,,,,
175751,Mercadona Tafalla,"Av. de Pamplona, 8",Tafalla,Comunidad Foral de Navarra,31300,210,42.53680039279644,-1.669631087393327,0,,,,,,
175741,Verdecora - Latorre Outlet,Camino de la casilla del ferrocarril,Zaragoza,Aragon,50120,210,41.67620505598748,-0.9498252140469958,0,,,,,,
175734,Escarrilla ,Calle El Llano 17,Escarrilla,Huesca,22660,210,42.736741,-0.315656,0,,,,,,
175724,Venta Santa Lucia,"Carretera N-II, Km. 372",Pina de Ebro,Zaragoza,50750,210,41.496555985069676,-0.36729010291333,0,,,,,,
175705, Cabrojo,Barrio Cabrojo 65,Cabrojo,Cantabria,39509,210,43.32886556275926,-4.192834484605783,0,,,,,,
175704,Area Servicio La Retama,Cabrojo,,Cantabria,,210,43.3283856718424,-4.190650121674935,0,,,,,,
175703,Restaurante Los Cordobeses,"A-92, salida 177",Loja,Andalusia,18313,210,37.13401542029092,-4.284150911760662,0,https://www.wenea.com/,,,,,
175702,Fernando Mugica kalea,"Errekalde Hiribidea, S/N",San Sebastián,Basque Country,20018,210,43.281134611965655,-2.016978138532295,0,,,,,,
175701,Mercadona Estella,33-36 Carretera Estella - Cárcar,Estella/Lizarra,Comunidad Foral de Navarra,31200,210,42.65471380414445,-2.026714138047737,0,,,,,,
175700,Mercadona Tudela,Calle Carmen Conde,Tudela,Comunidad Foral de Navarra,31500,210,42.06117508341214,-1.6182643262427518,0,,,,,,
175699,Mercadona Alagón,Avenida La Jarea,Alagón,Aragon,50630,210,41.76530226323109,-1.125065907329713,0,,,,,,
175698,Mercadona Parque del Agua,103 Avenida José Atarés,Zaragoza,Aragon,50018,210,41.673442689890805,-0.8986476116593849,0,,,,,,
175681,Parking La Torre Outlet,Camino de la casilla del ferrocarril,Zaragoza,Aragon,50120,210,41.67751589436904,-0.9518105529783725,0,,,,,,
175680,Decathlon La Torre Outlet,,Zaragoza,,,210,41.67695731542747,-0.9512113118807974,0,,Parking Decathlon,,,,
175662,Calle Utrera,Calle Utrera,Mairena del Alcor,Sevilla,41520,210,37.381816317192104,-5.733221173520633,0,,,,,,
175654,Hotel Denia Marriott La Sella 1,,Dénia,Valencian Community,03737,210,38.80820894504831,0.07580241280038535,0,https://www.iberdrola.es/servicios/vehiculo-electrico/punto-recarga,,900 92 92 93,,,
175653,Avenida Costa Blanca 1,Avenida Costa Blanca 1,Ondara,Alicante,03760,210,38.81820583495542,0.024432267816337117,0,https://www.iberdrola.es/servicios/vehiculo-electrico/punto-recarga,,900 92 92 93,,,
175652,Camí de Cabanes,Camí de Cabanes,Jávea/Xàbia,Valencian Community,03730,210,38.76586398417572,0.1809773986306027,0,https://www.iberdrola.es/servicios/vehiculo-electrico/punto-recarga,,900 92 92 93,,,
175613,Mercadona Villanueva de Gállego,"Calle Eulogio Oscáriz, 50830 Villanueva de Gállego, Zaragoza",Villanueva de Gállego,Aragon,50830,210,41.76192884246268,-0.8313788284365273,0,,,,,,
175612,Mercadona Calatayud,Avenida Diputación 13,Calatayud,Aragon,50300,210,41.3469092235533,-1.6418731228278602,0,,,,,,
175611,Avenida de Zaragoza,Avenida de Zaragoza,La Almunia de Doña Godina,Aragon,50270,210,41.484294817256796,-1.3708405031021584,0,,,,,,
175610,Mercadona Cuarte,Calle Emperador Domiciano,Cuarte de Huerva,Aragon,50410,210,41.59101787929171,-0.9440158350296315,0,,,,,,
175609,Mercadona Torrero c/ Biescas,Calle Biescas,Zaragoza,Aragon,50007,210,41.62659699413274,-0.8924614253539858,0,,Level -1 parking,,,,
175608,Mercadona Arzobispo Domenech,Calle del Arzobispo Domenech,Zaragoza,Aragon,50006,210,41.643872245827254,-0.8881876076293338,0,,,,,,
175493,Hotel Brasería La Barca,"N-431, km 113.5",Lepe,Andalucía,,210,37.283700669585585,-7.178580775972705,0,,,,,,
175490,Juneda - ETECNIC Charging Station,Carrer d'Àngel Guimerà 39,Juneda,Catalunya,25430,210,41.54765518063229,0.8288607844278886,0,https://evcharge.net/,,+34977276952,,,
175458,IONITY El Hidalgo,"A-4, km 193.6",Valdepeñas,,13300,210,38.824602,-3.396888,0,,,,,,
175457,IONITY Vila Sana,"A-2, km 489.525245 Vila-sana",Lleida,,25245,210,41.643858,0.931523,0,,,,,,
175452,IONITY Ariza Sur,"A-2, Pk 197.2",Ariza,Zaragoza,50220,210,41.311297,-2.003104,0,,,,,,
175451,IONITY Ariza Norte,"A-2, Pk 197.3",Ariza,Zaragoza,50220,210,41.312891,-2.001533,0,,,,,,
175442,Carrer Imperial Tarraco,"Carrer Imperial Tarraco, 2",,Catalunya,43770,210,41.10039787141554,0.6532031717595146,0,,,,,,
175403,IONITY Imarcoain,AP-15 km 78,Imarcoain,,31119,210,42.732379,-1.618726,0,,,,,,
175401,IONITY Pola de Lena Oeste,"A-66, km 58,5Pola de Lena",Pola de Lena,,33630,210,43.182007,-5.811178,0,,,,,,
175386,Mercadona,"Calle Miguel Servet, s/n",Cabanillas del Campo,Guadalajara,,210,40.636253065869255,-3.225100923389732,0,,,,,,
175320,Carretera de la Estación 53,Urbanización Estíbaliz ,Peñíscola,Castellón,12598,210,40.36639550727014,0.3923408142400149,0,https://apartamentopremium.com/chalet-adosrdo-urb-estibaliz/,"Urbanización Privada, Solo recarga a clientes alojados ",+34646359277,mangmupe@gmail.com,,
175317,Carretera de la Estación 53,Urbanización Estíbaliz ,Peñíscola,Castellón,12598,210,40.36639550727014,0.3923408142400149,0,https://apartamentopremium.com/chalet-adosrdo-urb-estibaliz/,"Urbanización Privada, Solo recarga a clientes alojados ",+34646359277,mangmupe@gmail.com,,
175307,Estación de Servicio Porto-Gas (CEPSA),34 Avinguda dels Benvinguts,Santanyí,Illes Balears,07660,210,39.379818110773044,3.226946584813959,0,,,,,,
175306,Estación de Servicio Porto-Gas (CEPSA),34 Avinguda dels Benvinguts,Santanyí,Illes Balears,07660,210,39.379818110773044,3.226946584813959,0,,,,,,
175303,Hotel Perú,,Trujillo,Extremadura,10200,210,39.474991305863824,-5.858147842183712,0,,,,,,
175302,Estepona,,Estepona,Andalucía,29680,210,36.43441263298935,-5.160342078036933,0,,,,,,
175293,Carrer de Víctor Balaguer,Carrer de Víctor Balaguer,Sitges,Catalunya,08870,210,41.240043079298715,1.803033133871054,0,,,,,,
175231,SELBA EdRSR - Etecnic,Casal de joves,Xerta,Catalonia,,210,40.90997785269511,0.48960472001294875,0,,,,,,
175229,SELBA EdRSR - Etecnic,Casal de joves,Xerta,Catalonia,,210,40.90997785269511,0.48960472001294875,0,,,,,,
175228,SELBA EdRSR - Etecnic,Casal de joves,Xerta,Catalonia,,210,40.90997785269511,0.48960472001294875,0,,,,,,
175191,Iberdrola Sant Mateu,"De La Pietat, 12",Sant Mateu,Castellón ,12170,210,40.466933316929214,0.18270647252313665,0,,,,,,
174993,Centro Porsche ZARAGOZA,"C/Langa del Castillo, 8",Zaragoza,Zaragoza,50013,210,41.63632005622986,-0.8606615188398337,0,http://www.porsche.es,,976 911 911 ,,,
174992,Centro Porsche VIGO,"Carretera de Madrid, 152",Vigo ,Pontevedra,36318,210,42.21657324321606,-8.68761334751025,0,http://www.porsche.es,,98 647 39 35,,,
174991,Centro Porsche VALENCIA,v,Quart de Poblet ,Valencia,v,210,39.48064053665317,-0.4560578316243209,0,http://www.porsche.es,,96 153 95 31,,,
174990,Centro Porsche TENERIFE,"C/ Carretera General del Rosario, 188",Taco ,Santa Cruz de Tenerife,38108,210,28.446961659007926,-16.292066429503848,0,http://www.porsche.es,,82 290 07 00,,,
174989,Centro Porsche SEVILLA,Av. Ruta de la Plata  3,Camas,Sevilla,41900,210,37.420691214721,-6.03056664243536,0,http://www.porsche.es,,95 425 35 06,,Polg.ind. Parque Plata,
174988,Centro Porsche PAMPLONA,"Calle A, nº 38-40",Noain,Navarra,31110,210,42.76948440307942,-1.632739694159568,0,http://www.porsche.es,,94 829 01 95,,Pol. Talluntxe 1  ,
174987,Centro Porsche MURCIA,"Ctra. de Madrid, nº 384",El Espinardo,Murcia,30100,210,38.02387218689856,-1.163460257524548,0,http://www.porsche.es,,96 885 93 46,,,
174986,Centro Porsche MARBELLA,"Ctra. Cadiz, Km. 175,3",Puerto Banus,Málaga,29660,210,36.49580106263579,-4.949930628898642,0,http://www.porsche.es,,95 290 79 11,,,
174985,Centro Porsche MARBELLA,"Ctra. Cadiz, Km. 175,3",Puerto Banus,Málaga,29660,210,36.49580106263579,-4.949930628898642,0,http://www.porsche.es,,95 290 79 11,,,
174984,Centro Porsche MADRID OESTE,"C/ Ciruela, 5",Majadahonda,Madrid,28220,210,40.45541624719556,-3.871293262927111,0,http://www.porsche.es,,91 634 78 10,,P.E. Carrelero II,
