IsRecentlyVerified,DateLastVerified,ID,UUID,DataProviderID,OperatorID,UsageTypeID,UsageCost,AddressInfo,Connections,NumberOfPoints,GeneralComments,StatusTypeID,DateLastStatusUpdate,DataQualityLevel,DateCreated,SubmissionStatusTypeID
true,2021-05-27T21:02:00Z,175543,053B89A6-EC2F-4C2B-B6A0-703D32BBC9CA,1,207,4,0.40\u20ac/kWh,175902|Restaurante Tres Caminos|Barrio del CInca 27|El Grado|Aragon|22390|210|42.14119762309019|0.22514498660052595|0,272482|33|50|3|125|400|50|30|1|272483|2|50|3|125|400|50|30|1|272484|25|50|2|32|400|22|20|1,1,App. JuicePass,50,2021-05-27T22:03:00Z,1,2021-05-27T21:02:00Z,200
true,2021-05-27T20:57:00Z,175542,BB3E7BCC-D509-4EB3-8989-1659FAA9A7DE,1,207,1,0.49\u20ac/kWh,175901|Estaci\u00f3 de servei Vilalta|Barri de la Coromina|Cardona|Catalonia|08261|210|41.907774788044264|1.7010089664229326|0,272479|33|50|3|125|400|50|30|1|272480|2|50|3|125|400|50|30|1|272481|25|50|2|22|20|1,1,App. JuicePass,50,2021-05-27T22:06:00Z,1,2021-05-27T20:57:00Z,200
true,2021-05-27T20:16:00Z,175541,D3A40D2E-F692-4E09-8F43-DC8F04E5CA9C,1,91,4,,"175900|E.S. Celr\u00e0 (Repsol)|Carrer Margarita Xirgu, 10|Celr\u00e0|Girona|17460|210|42.025359692577666|2.865044537270137|0",272476|2|50|3|100|480|50|30|1|272477|33|50|3|50|30|1|272478|25|50|3|63|400|43|20|1,1,App. Waylet,50,2021-05-27T22:05:00Z,1,2021-05-27T20:16:00Z,200
true,2021-05-27T20:03:00Z,175540,5F4C3640-9326-46C1-AECA-4E455121293D,1,207,4,0.40\u20ac,175899|McDonald's L'Escala|Carrer de les Coseidores s/n|L'Escala|Girona|17130|210|42.11094667333549|3.1253158809515753|0,272473|33|50|3|50|30|1|272474|2|50|3|50|30|1|272475|25|50|2|22|20|1,1,App JuicePass,50,2021-05-27T22:04:00Z,1,2021-05-27T20:03:00Z,200
true,2021-05-27T19:26:00Z,175538,03EEC8E2-A8B6-407C-8B62-022F0285A47C,1,3371,4,0.30 \u20ac/kWh,"175897|Restaurante el Navarro|Autovia A-2, Km  285|Epila|Zaragoza|50290|210|41.53956551365221|-1.2377758826579566|0",272468|33|50|3|50|30|2|272469|2|50|3|50|30|2|272470|1036|50|2|22|2,1,App. Wenea,50,2021-05-27T22:05:00Z,1,2021-05-27T19:26:00Z,200
true,2021-05-21T09:33:00Z,175461,503D1013-8656-47F8-AE0C-D06365CF3D39,1,2247,4,,175820|Estaci\u00f3n de Servicio Astigarraga|GI-2132|Astigarraga|Basque Country|20115|210|43.281878148549026|-1.9164352709968853|https://www.estaciondeservicioastigarraga.es|0,272270|33|150|3|50|30|2|272275|2|150|3|50|30|1|272276|1036|150|2,1,,150,2021-05-24T09:21:00Z,1,2021-05-21T09:33:00Z,200
true,2021-05-20T10:39:00Z,175458,CC210542-03C3-43CD-80FB-60A736162876,1,3377,4,,175817|Carrer dels Rourets|Carrer dels Rourets|Llu\u00e7\u00e0|Catalonia||210|42.06824375835643|2.073100197588019|0,272265|25|50|2|32|400|22|20|2,2,,50,2021-05-20T10:39:00Z,1,2021-05-20T10:39:00Z,200
true,2021-05-20T10:16:00Z,175454,2663929C-5AB5-4DE0-A1B3-FDFB54AB9698,1,3377,4,,175813|SELBA EdRSR - ETECNIC|C. d'Emma|Sant Quirze de Besora|Catalonia|08585|210|42.102917081006154|2.216307556721631|0,272259|25|50|2|32|400|22|20|2,2,,50,2021-05-20T10:16:00Z,1,2021-05-20T10:16:00Z,200
true,2021-05-19T16:25:00Z,175440,513786A4-0AA6-4A4E-835B-6741603B4A36,1,1,1,Gratis,175799|Lidl|Lidl|Alcal\u00e1 la Real|Andalusia|23680|210|37.45061361699078|-3.9195752928199|0,272213|25|50|2|32|400|22|20|2,2,,50,2021-05-19T19:54:00Z,1,2021-05-19T16:25:00Z,200
true,2021-05-17T17:04:00Z,175406,1D31F6CB-AB29-4864-8A16-3AB02FE266A0,1,207,4,,175765|Urepel gasolindegia|Egiburuberri industrialdea|Errenteria|Gipuzkoa|20100|210|43.29580813865198|-1.8991863566047869|0,272137|2|50|3|50|30|1|272138|33|50|3|50|30|1,2,,50,2021-05-19T08:57:00Z,1,2021-05-17T17:04:00Z,200
true,2021-05-17T09:26:00Z,175392,5585802C-104A-4D1F-9205-990537D3D101,1,1,6,Gratis,"175751|Mercadona Tafalla|Av. de Pamplona, 8|Tafalla|Comunidad Foral de Navarra|31300|210|42.53680039279644|-1.669631087393327|0",272108|25|50|2|32|400|22|20|1,2,,50,2021-05-21T20:38:00Z,1,2021-05-17T09:26:00Z,200
true,2021-05-15T17:40:00Z,175382,AEC65B10-1B86-4532-B2CB-299D5EBE4BB7,1,1,1,Gratis,175741|Verdecora - Latorre Outlet|Camino de la casilla del ferrocarril|Zaragoza|Aragon|50120|210|41.67620505598748|-0.9498252140469958|0,272084|25|50|2|32|22|20|1,4,,50,2021-05-17T21:30:00Z,1,2021-05-15T17:40:00Z,200
true,2021-05-15T08:48:00Z,175375,C84D08C6-393B-4D82-A67E-F39B72C36041,1,207,1,0.49\u20ac/kWh,175734|Escarrilla |Calle El Llano 17|Escarrilla|Huesca|22660|210|42.736741|-0.315656|0,272064|33|50|3|125|400|50|30|2|272065|2|50|3|125|400|50|30|2|272066|25|50|2|22|20|2,1,App. JuicePass,50,2021-05-15T08:49:00Z,1,2021-05-15T08:48:00Z,200
true,2021-05-14T10:37:00Z,175365,7B98C1EC-0F1A-4E12-8D25-5917EBDE1E09,1,3371,1,0.30 \u20ac/kWh,"175724|Venta Santa Lucia|Carretera N-II, Km. 372|Pina de Ebro|Zaragoza|50750|210|41.496555985069676|-0.36729010291333|0",272037|2|50|3|50|30|2|272038|33|50|3|50|30|2|272039|25|50|2|22|2,1,,50,2021-05-15T07:49:00Z,1,2021-05-14T10:37:00Z,200
true,2021-05-10T21:40:00Z,175346,D7010BD3-AEF9-4228-8BDB-E7A2885A5702,1,2247,1,,175705| Cabrojo|Barrio Cabrojo 65|Cabrojo|Cantabria|39509|210|43.32886556275926|-4.192834484605783|0,271983|33|50|2|50|1|271984|2|50|2|50|1|271985|1036|50|2|22|2,1,,50,2021-05-10T22:07:00Z,1,2021-05-10T21:40:00Z,200
true,2021-05-10T17:53:00Z,175345,AB86343B-C32B-4A6E-83BE-77853E23A824,1,1,1,,175704|Area Servicio La Retama|Cabrojo|Cantabria|210|43.3283856718424|-4.190650121674935|0,271978|33|50|3|50|30|1|271979|2|50|3|50|30|1|271980|1036|50|3|63|400|43|20|1,1,,50,2021-05-10T22:09:00Z,1,2021-05-10T17:53:00Z,200
true,2021-05-10T15:56:00Z,175344,98A79D4E-A66F-44DA-BC3E-A275013D7140,1,3371,4,"0,30 \u20ac/kWh","175703|Restaurante Los Cordobeses|A-92, salida 177|Loja|Andalusia|18313|210|37.13401542029092|-4.284150911760662|https://www.wenea.com/|0",271975|33|50|3|100|30|2|271976|2|50|3|50|30|1|271977|25|50|2|22|20|1,2,,50,2021-05-10T18:21:00Z,1,2021-05-10T15:56:00Z,200
true,2021-05-10T14:26:00Z,175343,B8206C19-43C1-4D74-B28A-8EB31D7DAE70,1,1,6,Gratis,"175702|Fernando Mugica kalea|Errekalde Hiribidea, S/N|San Sebasti\u00e1n|Basque Country|20018|210|43.281134611965655|-2.016978138532295|0",271974|25|50|2|32|400|22|20|2,1,,50,2021-05-10T18:19:00Z,1,2021-05-10T14:26:00Z,200
true,2021-05-10T14:16:00Z,175342,1686341B-FD91-4F69-8473-C292E9D00E7C,1,1,6,Gratis,175701|Mercadona Estella|33-36 Carretera Estella - C\u00e1rcar|Estella/Lizarra|Comunidad Foral de Navarra|31200|210|42.65471380414445|-2.026714138047737|0,271973|25|50|2|16|400|11|20|1|271981|25|50|2|16|230|3.6|10|1,2,,50,2021-05-10T18:21:00Z,1,2021-05-10T14:16:00Z,200
true,2021-05-10T14:10:00Z,175341,A3DCF39C-FF6E-446C-93FF-DAE320A77865,1,1,6,Gratis,175700|Mercadona Tudela|Calle Carmen Conde|Tudela|Comunidad Foral de Navarra|31500|210|42.06117508341214|-1.6182643262427518|0,271972|25|50|2|16|230|3.6|10|1,1,,50,2021-05-10T18:25:00Z,1,2021-05-10T14:10:00Z,200
true,2021-05-10T13:55:00Z,175340,C4920760-36BD-4949-91BA-90C1CE38DD41,1,1,6,Gratis,175699|Mercadona Alag\u00f3n|Avenida La Jarea|Alag\u00f3n|Aragon|50630|210|41.76530226323109|-1.125065907329713|0,271971|25|50|2|16|400|11|20|1,1,,50,2021-05-10T18:22:00Z,1,2021-05-10T13:55:00Z,200
true,2021-05-10T13:42:00Z,175339,16736FE8-C04E-44D2-A970-E3F38F491517,1,1,6,Gratis,175698|Mercadona Parque del Agua|103 Avenida Jos\u00e9 Atar\u00e9s|Zaragoza|Aragon|50018|210|41.673442689890805|-0.8986476116593849|0,271970|25|50|2|16|230|3.6|10|1,1,,50,2021-05-10T18:24:00Z,1,2021-05-10T13:42:00Z,200
true,2021-05-08T21:01:00Z,175322,7608E1CD-BCBE-4244-8DFA-7B67B7FCD283,1,1,1,Gratis,175681|Parking La Torre Outlet|Camino de la casilla del ferrocarril|Zaragoza|Aragon|50120|210|41.67751589436904|-0.9518105529783725|0,271922|25|50|2|32|22|20|1|271982|28|50|2|16|220|3.7|10|1,10,,50,2021-05-16T12:03:00Z,1,2021-05-08T21:01:00Z,200
true,2021-05-08T20:58:00Z,175321,653B5395-2B71-4351-852A-CD93F17B3A06,1,1,1,Gratis,175680|Decathlon La Torre Outlet||Zaragoza|210|41.67695731542747|-0.9512113118807974|Parking Decathlon|0,271921|25|50|2|32|22|20|1,4,,50,2021-05-16T12:04:00Z,1,2021-05-08T20:58:00Z,200
true,2021-05-08T11:35:00Z,175303,1D2B0FBB-5E85-432A-A796-6F164E2FA099,1,207,4,,175662|Calle Utrera|Calle Utrera|Mairena del Alcor|Sevilla|41520|210|37.381816317192104|-5.733221173520633|0,271895|33|50|3|50|30|2|271896|2|800 760 255|50|3|50|30|1|movilidad.endesaX@enel.com,1,,50,2021-05-08T19:18:00Z,1,2021-05-08T11:35:00Z,200
